,year,iso3c,country,pop,labor_force,gdp_ppp_c,gdp_ppp,gdp,gdp_c,hours_worked,total_hours,hours_per_employed,gdp_over_k_hours_worked,gdp_ppp_over_k_hours_worked,gdp_over_pop,gdp_ppp_over_pop,gdp_ppp_over_labor_force,gdp_ppp_over_pop_c,gdp_over_pop_c,gdp_ppp_over_k_hours_worked_c,continent,penn_hours_worked_over_pop,hours_worked_over_pop,hours_worked_over_pop_combined,hours_worked_over_pop_predicted,hours_worked_over_pop_modelled
16035,2019,USA,United States,328329953.0,167100511.0,20511077482157.9,21380976119000.0,21380976119000.0,19928975197000.0,1823.62958333333,278646799931.299,1744.584619,76731.46120562493,76731.46120562493,65120.394662865256,65120.394662865256,127952.78716412782,62470.92991286695,60698.01129901785,73609.59281504381,2.0,849.2355070275771,848.6791941620355,848.6791941620355,820.3127882114417,848.6791941620355
16063,2020,AUS,Australia,25655289.0,13590200.0,1250640223864.98,1361436162530.14,1326944627876.87,1490980996778.96,1683.85153828571,21957617276.12912,1689.483129,60432.08655974877,62002.90976062344,51722.06900015315,53066.4909886667,100177.7871208768,48747.85171451313,58115.93066751109,56957.00986757766,5.0,,855.8709775644749,855.8709775644749,890.1156181045072,855.8709775644749
16064,2020,AUT,Austria,8916864.0,4638300.0,463573633529.714,510567953574.313,435225238000.43,387488567518.429,1400.78692305547,6248812408.418389,1400.786923,69649.27246241146,81706.39798475575,48809.226876223525,57258.69022722708,110076.526652936,51988.415829793295,43455.70006657374,74185.87776858022,4.0,,700.7858826172957,700.7858826172957,769.8268824736707,700.7858826172957
16067,2020,BEL,Belgium,11538604.0,5167188.0,565255840906.087,629660759327.271,525213067068.319,468699296976.953,1445.92409611498,7082569999.4368,1445.924096,74155.71849061619,88902.86426782102,45517.90381820184,54569.92538501807,121857.52856820208,48988.23470378973,40620.10421511588,79809.42524409016,4.0,,613.8151547134124,613.8151547134124,714.4383876015756,613.8151547134124
16085,2020,CAN,Canada,38007166.0,20471068.0,1755237725548.51,1794940299465.27,1647598402302.68,1610230109741.6,1653.0,29022092108.2344,1652.818736,56770.49043046794,61847.37794819396,43349.67785555703,47226.36514033354,87681.81022432586,46181.757554575626,42366.48714459794,60479.365822510736,2.0,,763.5952680143108,763.5952680143108,804.4419919887774,763.5952680143108
16087,2020,CHE,Switzerland,8638167.0,4979813.0,585373000686.125,611675694523.937,739913619797.445,729361717205.744,1498.79757479824,7608206742.57653,1498.797429,97252.03912464555,80396.82874295712,85656.32266630698,70810.82068961355,122831.05701437723,67765.88142902598,84434.77849012922,76939.68112226766,4.0,,880.7663411203476,880.7663411203476,862.1201878825799,880.7663411203476
16104,2020,CZE,Czechia,10697858.0,5375292.0,413365014030.65,458157806504.071,245974558654.043,203773728339.855,1676.85340055456,8949707002.377403,1676.853401,27484.09066226439,51192.49226621227,22992.879383334777,42827.0600062247,85234.03128687167,38639.97952026003,19048.086854382906,46187.54713655359,4.0,,836.5886892850328,836.5886892850328,769.8311944599774,836.5886892850328
16105,2020,DEU,Germany,83160871.0,43501190.0,4311086970108.54,4697131869981.02,3889668895299.56,3463685430302.1,1319.1306913058,59248754986.265,1319.130691,65649.7996658539,79278.15312017789,46772.82535075372,56482.47563425616,107977.08913206786,51840.32969193577,41650.42271264932,72762.4904710307,4.0,,712.459529028562,712.459529028562,769.8268824736707,712.459529028562
16108,2020,DNK,Denmark,5831404.0,3028252.0,323751369208.667,354736891184.954,355222449505.211,325968427772.869,1344.85132862429,3998243001.117,1344.851329,88844.63735845259,88723.19443461795,60915.424399546144,60832.15829068848,117142.46079419876,55518.59710091549,55898.79002944557,80973.40984983146,4.0,,685.6398563908451,685.6398563908451,756.4654416370377,685.6398563908451
16120,2020,ESP,Spain,47365655.0,22838137.0,1704559177419.92,1799327900961.96,1276962685648.23,1173978918108.98,1551.92079665324,30233745006.7555,1551.920797,42236.33841467216,59513.89417883606,26959.675436732163,37988.02953241035,78786.10680730919,35987.23964484224,24785.4467146919,56379.35945543793,4.0,,638.3052236215354,638.3052236215354,769.8311944599774,638.3052236215354
